Age,Weight
0,4.3899999999999997
1,7.8499999999999996
2,17.579999999999998
3,30.140000000000001
4,44.299999999999997
5,59.020000000000003
6,73.5
7,87.230000000000004
8,99.870000000000005
9,111.27
10,121.39
