Year,MoGN,SpLL,MoLL,SiLL,SiGN,GrLL,LiLL
1987,,,,,,1.28100159865003,
1988,,1.27905691655922,,,,1.5323865402549,
1989,,0.73752072204825903,,,,,
1990,,0.80456806041628304,,,0.67412674174460796,1.4030513122252299,
1991,,1.04181248848775,,0.87697280953395396,0.79499904561939305,1.89804998001687,0.71956446501068605
1992,,1.09854485172223,,0.86149401227583999,1.3685340713876699,0.73493494382521396,0.53763626407639198
1993,,1.0933873641554599,,,1.0578354647833601,1.2969603445978899,0.55929843127842804
1994,,1.2171670657579701,,0.86970949150004495,0.76985111662531003,1.6558933567209899,0.73687786506085695
1995,,1.13464726468963,,1.0860362563400801,1.1884424508494,1.0832519206003799,0.76958720370286904
1996,,0.93866273715232995,,,0.75687154037030002,,0.76736611438251601
1997,,0.91803278688524603,,0.66388138940382002,1.1389578163771701,,0.82206263002878399
1998,,1.0211825382206701,,1.1160964329362699,0.82095819812941395,1.57700164305697,1.1788704127273899
1999,1.0046016562779001,0.89224534905138997,,1.32481856177985,1.0310650887574,1.09421488520805,0.828788612215556
2000,1.1497149997545999,0.799410572849512,,0.81632434780629204,1.21034548577973,0.78059083440650101,1.0954484807281999
2001,0.74408742218372403,0.94382022471910099,0.59660065571641996,1.25889957424579,1.0594579118152301,0.81521437452817602,1.47727479529565
2002,0.96628414597424706,1.2635844538589101,0.71902564934094004,1.79126754546522,,0.66388383143123597,1.14135625890299
2003,0.83086227000009305,1.01086756308712,0.81228423114266801,0.71903126792359395,,0.80001887295172902,1.2385803439256899
2004,1.00727456991294,0.85098544851722202,0.87070722067996797,0.97229502291912295,1.22900362664631,0.80314123628935596,0.80407699752415696
2005,1.2188141283714899,0.96445017498618502,0.68749463700789903,1.07746745745313,0.97914678373735398,0.79550879257515905,0.65721137873089097
2006,1.1409719854773901,1.0211825382206701,0.99178874251792204,1.2297066607873599,2.4937010879938901,0.85649895643678697,1.01709915620419
2007,1.0892209285821399,1.1552772149567101,0.92910992289163197,0.70885715700824303,,0.882865580176739,1.95207557719424
2008,1.1929472222259101,1.11401731442255,0.74625800278642695,0.760373970946981,0.26689253674365299,0.85004607220569295,1.69323266711001
2009,0.95848958492238001,0.82004052311659603,0.77698203038861002,0.86676804167440602,0.159811032639817,0.72494338114481105,1.0035923459005001
2010,0.89477077278377004,0.88193037391784801,0.77919785717752799,,,0.87981260269106099,
2011,0.801960313533433,0.93866273715232995,0.905233994765269,,,0.68768317864914097,
2012,,1.09854485172223,1.6393939890307201,,,0.67651205648563395,
2013,,0.97476515011972698,1.5967590471328701,,,1.03926129046583,
2014,,0.99023761282003997,1.43299524630391,,,0.79835361250499604,
2015,,0.995395100386811,1.51616877311722,,,0.66992040055064594
